,BOOK_ID,FILENAME,LIBRARIES,TITLE,AUTH_LAST,AUTH_FIRST,AUTH_ID,WRITTEN_AS,PUBL_CITY,PUBLISHER,PUBL_DATE,SOURCE,NATIONALITY,GENRE,CLEAN?,SUBSET
332,2032,00002032.txt,317,D'ri and I,Bacheller,Irving,A_00117,,Boston,Lothrop Pub. Co.,1901,g,American,,,SENT
337,2076,00002076.txt,323,The portion of labor,Freeman,Mary Eleanor Wilkins,A_01254,,New York,Harper & Bros.,1901,g,American,,c,PARG
338,2080,00002080.txt,153,Under the skylights,Fuller,Henry Blake,A_01277,,New York,D. Appleton & Co.,1901,g,American,,c,CTRL
339,2090,00002090.txt,34,Westerfelt,Harben,Will N.,A_01539,,New York/London,Harper & Bros.,1901,g,American,,,SENT
341,2099,00002099.txt,279,The sacred fount,James,Henry,A_01780,,New York,Charles Scribner's Sons,1901,g,American,,c,NOVL
342,2106,00002106.txt,51,The transfiguration of Miss Philura,Kingsley,Florence Morse,A_01914,,New York/London,Funk & Wagnalls Co.,1901,g,American,ROM,,PARG
345,2121,00002121.txt,38,The road to Frontenac,Merwin,Samuel,A_02382,,New York,"""Doubleday, Page & Co.""",1901,g,American,,,CTRL
346,2124,00002124.txt,70,The pines of Lory,Mitchell,John Ames,A_02429,,New York,Life Pub. Co.,1901,g,American,,,PARG
347,2141,00002141.txt,46,Dwellers in the hills,Post,Melville Davisson,A_02784,,New York/London,nd G.P. Putnam's Sons,1901,g,American,,,NOVL
348,2147,00002147.txt,48,What can she do,Roe,Edward Payson,A_02950,,New York,P.F. Collier & Son,1901,g,American,,,SENT
349,2148,00002148.txt,60,That girl Montana,Ryan,Marah Ellis,A_03000,,Chicago,"""Rand, McNally""",1901,g,American,,,NOVL
350,2152,00002152.txt,122,King Midas,Sinclair,Upton,A_03151,,New York,Funk & Wagnalls Co.,1901,g,American,,c,CTRL
351,2156,00002156.txt,62,A soldier of Virginia,Stevenson,Burton Egbert,A_03261,,Boston,Houghton Mifflin Co.,1901,g,American,,,SENT
354,2167,00002167.txt,26,Patty Fairfield,Wells,Carolyn,A_03562,,New York,Grosset & Dunlap,1901,g,American,,,PARG
355,2180,00002180.txt,56,Oldfield,Banks,Nancy Huston,A_00153,,New York/London,Macmillan Co.,1902,g,American,,,CTRL
357,2194,00002194.txt,26,Captain Macklin,Davis,Richard Harding,A_00876,,New York,Charles Scribner's Sons,1902,g,American,,,PARG
359,2203,00002203.txt,243,Observations,Dunne,Finley Peter,A_01023,,New York,R.H. Russell,1902,g,American,,,CTRL
365,2225,00002225.txt,32,Openings in the old trail,Harte,Bret,A_01577,,New York,"""McKinlay, Stone & Mackenzie""",1902,g,American,,c,SENT
368,2234,00002234.txt,462,The Kentons,Howells,William Dean,A_01716,,New York/London,Harper & Bros.,1902,g,American,,c,CTRL
370,2237,00002237.txt,62,The Strollers,Isham,Frederic Stewart,A_01760,,Indianapolis,Bowen-Merrill,1902,g,American,,,SENT
375,2252,00002252.txt,115,The thrall of Leif the Lucky,Liljencrantz,Ottilie A.,A_02074,,Chicago,A. C. McClurg & Co.,1902,g,American,,,SENT
381,2264,00002264.txt,149,Castle Craneycrow,McCutcheon,George Barr,A_02321,,Chicago,Herbert S. Stone & Co.,1902,g,American,,,SENT
383,2273,00002273.txt,66,Avery,Phelps,Elizabeth Stuart,A_02725,,Boston/New York,Houghton Mifflin Co.,1902,g,American,,,NOVL
385,2279,00002279.txt,237,Lavender and old lace,Reed,Myrtle,A_02865,,New York,Grosset & Dunlap,1902,g,American,,,CTRL
390,2299,00002299.txt,50,The blue flower,Van Dyke,Henry,A_03450,,New York,Grosset & Dunlap,1902,g,American,,,PARG
391,2304,00002304.txt,632,The valley of decision,Wharton,Edith,A_03582,,New York,Charles Scribner's Sons,1902,g,American,,c,NOVL
393,2309,00002309.txt,306,The Virginian,Wister,Owen,A_03681,,New York/London,Macmillan Co.,1902,g,American,,c,PARG
398,2319,00002319.txt,44,Round Anvil Rock,Banks,Nancy Huston,A_00153,,New York/London,Macmillan Co.,1903,g,American,,,SENT
403,2344,00002344.txt,156,The one woman,Dixon,Thomas,A_00951,,New York,"""Doubleday, Page & Co.""",1903,g,American,,,CTRL
404,2356,00002356.txt,463,The little shepherd of Kingdom Come,Fox,John,A_01235,,New York,Charles Scribner's Sons,1903,g,American,,,SENT
405,2360,00002360.txt,26,The damsel and the sage,Glyn,Elinor,A_01379,,New York/London,Harper & Bros.,1903,g,American,ROM,,CTRL
406,2361,00002361.txt,27,The certainty of a future life in Mars,Gratacap,L. P.,A_01436,,New York,Brentano's,1903,g,American,,,NOVL
408,2364,00002364.txt,38,Betty Zane,Grey,Zane,A_01462,,New York,Charles Francis Press,1903,g,American,,,NOVL
409,2372,00002372.txt,37,Under the rose,Isham,Frederic Stewart,A_01760,,Indianapolis,Bowen-Merrill,1903,g,American,,,PARG
411,2383,00002383.txt,74,The ward of King Canute,Liljencrantz,Ottilie A.,A_02074,,Chicago,Published by A.C. McClurg & Co.,1903,g,American,,,PARG
419,2414,00002414.txt,39,Beautiful Joe,Saunders,Marshall,A_03034,,Philadelphia,C.H. Banes,1903,g,Canadian,,,SENT
421,2421,00002421.txt,77,The turquoise cup: and: The desert,Smith,Arthur Cosslett,A_03168,,New York,Charles Scribner's Sons,1903,g,American,,,CTRL
424,2424,00002424.txt,43,The daughter of a magnate,Spearman,Frank H.,A_03215,,New York,Charles Scribner's Sons,1903,g,American,,,CTRL
425,2427,00002427.txt,61,The song of the cardinal,Stratton-Porter,Gene,A_03287,,Indianapolis,Bobbs-Merrill Co.,1903,g,American,,,PARG
428,2444,00002444.txt,279,Philosophy 4,Wister,Owen,A_03681,,New York/London,Macmillan Co.,1903,g,American,,c,PARG
429,2445,00002445.txt,98,That printer of Udell's,Wright,Harold Bell,A_03720,,New York,A.L. Burt,1903,g,American,,,SENT
431,2447,00002447.txt,32,Sally of Missouri,Young,Rose E.,A_03746,,New York,"""McClure, Phillips & Co.""",1903,g,American,,,NOVL
432,2448,00002448.txt,163,A Texas matchmaker,Adams,Andy,A_00013,,Boston/New York,Houghton Mifflin Co.,1904,g,American,,,NOVL
436,2475,00002475.txt,113,The heart of Happy Hollow,Dunbar,Paul Laurence,A_01012,,New York,"""Dodd, Mead & Co.""",1904,g,American,,c,SENT
437,2477,00002477.txt,206,Doctor Luke of the Labrador,Duncan,Norman,A_01014,,Chicago/New York,F.H. Revell Co.,1904,g,American,,,SENT
439,2489,00002489.txt,131,My friend Prospero,Harland,Henry,A_01547,,New York,"""McClure, Phillips & Co.""",1904,g,American,,,CTRL
440,2490,00002490.txt,61,Heart of the West,Henry,O.,A_01630,,Garden City/N.Y.,George H. Doran Co.,1904,g,American,,,CTRL
441,2494,00002494.txt,150,Samantha at the St. Louis Exposition,Holley,Marietta,A_01680,,New York,G.W. Dillingham Co.,1904,g,American,,,NOVL
442,2495,00002495.txt,154,The law of the land,Hough,Emerson,A_01701,,Indianapolis,Bobbs-Merrill Co.,1904,g,American,,,PARG
444,2505,00002505.txt,48,Nancy Stair,Lane,Elinor Macartney,A_01982,,New York,A.L. Burt,1904,g,American,ROM,,PARG
446,2516,00002516.txt,70,Tillie,Martin,Helen Reimensnyder,A_02256,,New York,Century Co.,1904,g,American,,,CTRL
447,2519,00002519.txt,125,The day of the dog,McCutcheon,George Barr,A_02321,,New York,"""Dodd, Mead""",1904,g,American,,,PARG
