BOOK_ID,PUBL_DATE,SUBSET,P(INIT)_INIT,P(INIT)_FINAL
2032,1901,SENT,0,1
2076,1901,PARG,0,1
2090,1901,SENT,0,1
2099,1901,NOVL,0,0
2106,1901,PARG,1,1
2124,1901,PARG,0,1
2141,1901,NOVL,0,1
2147,1901,SENT,0,1
2148,1901,NOVL,0,1
2156,1901,SENT,0,1
2167,1901,PARG,0,1
2194,1902,PARG,0,1
2225,1902,SENT,0,1
2237,1902,SENT,0,1
2252,1902,SENT,0,1
2264,1902,SENT,0,1
2273,1902,NOVL,1,1
2299,1902,PARG,0,1
2304,1902,NOVL,0,0
2309,1902,PARG,0,1
2319,1903,SENT,0,1
2356,1903,SENT,0,1
2361,1903,NOVL,0,1
2364,1903,NOVL,0,1
2372,1903,PARG,0,1
2383,1903,PARG,0,1
2414,1903,SENT,0,1
2427,1903,PARG,0,0
2444,1903,PARG,0,1
2445,1903,SENT,0,1
2447,1903,NOVL,0,1
2448,1904,NOVL,0,1
2475,1904,SENT,0,1
2477,1904,SENT,0,1
2494,1904,NOVL,1,1
2495,1904,PARG,0,1
2505,1904,PARG,0,1
2519,1904,PARG,0,1
2521,1904,NOVL,0,0
2535,1904,NOVL,1,1
2553,1904,PARG,0,1
2570,1904,SENT,0,1
2579,1905,SENT,0,1
2597,1905,NOVL,0,1
2612,1905,NOVL,1,1
2615,1905,PARG,0,1
2646,1905,NOVL,1,1
2652,1905,PARG,0,1
2676,1905,SENT,0,1
2680,1905,SENT,0,1
2691,1905,NOVL,0,1
2692,1905,PARG,0,1
2700,1905,SENT,0,1
2703,1905,PARG,0,1
2712,1906,NOVL,1,1
2727,1906,SENT,0,1
2733,1906,PARG,0,1
2734,1906,NOVL,0,0
2738,1906,NOVL,0,1
2761,1906,PARG,0,1
2787,1906,SENT,0,1
2792,1906,SENT,0,1
2797,1906,PARG,0,1
2801,1906,SENT,0,1
2837,1906,PARG,0,1
2842,1907,SENT,0,1
2846,1907,SENT,1,1
2856,1907,NOVL,0,1
2869,1907,SENT,0,1
2887,1907,NOVL,1,1
2889,1907,NOVL,0,1
2908,1907,PARG,0,1
2913,1907,SENT,0,1
2942,1907,PARG,0,1
2945,1907,PARG,0,1
2949,1907,PARG,0,1
2969,1908,NOVL,1,1
2971,1908,NOVL,0,1
2980,1908,SENT,0,1
2986,1908,PARG,0,1
2987,1908,NOVL,0,1
3001,1908,PARG,0,1
3002,1908,SENT,0,1
3011,1908,PARG,0,1
3014,1908,NOVL,0,1
3039,1908,PARG,1,1
3042,1908,SENT,0,1
3054,1908,SENT,0,1
3067,1909,PARG,0,1
3081,1909,NOVL,0,1
3082,1909,SENT,0,1
3083,1909,PARG,0,1
3090,1909,NOVL,1,1
3095,1909,NOVL,0,1
3100,1909,SENT,0,1
3122,1909,PARG,0,1
3166,1909,PARG,0,1
3170,1909,SENT,0,1
3185,1909,SENT,0,1
3217,1910,SENT,0,1
3218,1910,PARG,0,1
3238,1910,SENT,0,1
3246,1910,NOVL,1,1
3251,1910,SENT,0,1
3264,1910,NOVL,1,1
3267,1910,PARG,0,1
3269,1910,NOVL,1,1
3270,1910,PARG,0,1
3279,1910,PARG,0,1
3285,1910,NOVL,0,0
3293,1910,SENT,0,1
3329,1911,NOVL,0,0
3352,1911,NOVL,0,1
3354,1911,NOVL,0,0
3356,1911,SENT,0,1
3362,1911,PARG,0,1
3378,1911,PARG,0,1
3381,1911,SENT,0,1
3382,1911,PARG,0,1
3420,1911,SENT,0,1
3443,1911,SENT,0,1
3444,1911,PARG,0,1
3447,1912,PARG,0,1
3467,1912,NOVL,1,0
3489,1912,NOVL,0,1
3497,1912,PARG,0,1
3504,1912,NOVL,0,0
3521,1912,SENT,0,1
3531,1912,SENT,0,1
3537,1912,NOVL,1,1
3545,1912,SENT,0,1
3553,1912,SENT,0,1
3554,1912,PARG,0,1
3571,1913,NOVL,1,1
3591,1913,SENT,0,1
3596,1913,NOVL,0,1
3619,1913,SENT,0,1
3620,1913,NOVL,1,1
3621,1913,NOVL,1,1
3623,1913,SENT,0,1
3645,1913,PARG,0,1
3648,1913,PARG,0,1
3650,1913,PARG,0,1
3653,1913,SENT,0,1
3681,1913,PARG,0,1
3699,1914,SENT,0,1
3700,1914,NOVL,0,0
3708,1914,SENT,0,1
3716,1914,NOVL,0,1
3744,1914,PARG,0,1
3750,1914,PARG,0,1
3758,1914,SENT,0,1
3785,1914,SENT,0,1
3787,1914,NOVL,1,1
3794,1915,SENT,0,1
3804,1915,SENT,0,1
3848,1915,NOVL,0,1
3849,1915,PARG,1,1
3859,1915,PARG,1,1
3863,1915,NOVL,0,0
3864,1915,SENT,0,1
3867,1915,PARG,0,1
3880,1915,SENT,0,1
3882,1915,PARG,0,1
3886,1915,NOVL,1,1
3891,1915,NOVL,0,1
3914,1916,SENT,0,1
3919,1916,SENT,0,1
3920,1916,NOVL,0,1
3953,1916,SENT,0,1
3960,1916,NOVL,0,1
3966,1916,NOVL,0,0
3990,1916,PARG,0,1
4005,1916,SENT,0,1
4016,1916,NOVL,1,0
4023,1916,PARG,1,1
4030,1916,PARG,1,1
4033,1916,PARG,0,1
4044,1917,NOVL,1,1
4056,1917,SENT,0,1
4062,1917,PARG,0,1
4075,1917,NOVL,1,1
4099,1917,SENT,0,1
4100,1917,PARG,0,1
4103,1917,NOVL,0,1
4104,1917,NOVL,0,1
4112,1917,PARG,0,1
4114,1917,SENT,0,1
4122,1917,PARG,0,1
4163,1918,NOVL,0,1
4166,1918,NOVL,0,1
4171,1918,PARG,0,0
4193,1918,PARG,0,1
4205,1918,PARG,0,0
4209,1918,SENT,0,1
4213,1918,SENT,0,1
4225,1918,PARG,0,1
4236,1918,NOVL,0,1
4245,1918,SENT,0,1
4260,1918,SENT,0,1
4261,1918,NOVL,0,1
4273,1919,SENT,0,1
4297,1919,NOVL,0,1
4299,1919,NOVL,1,1
4325,1919,PARG,0,1
4335,1919,PARG,0,1
4336,1919,SENT,0,1
4338,1919,NOVL,1,1
4351,1919,SENT,0,1
4357,1919,SENT,0,1
4381,1919,PARG,0,1
4402,1920,SENT,0,1
4406,1920,NOVL,0,1
4414,1920,PARG,0,1
4456,1920,NOVL,0,0
4472,1920,SENT,0,1
4475,1920,SENT,0,1
4479,1920,NOVL,0,1
4487,1920,PARG,0,1
4494,1920,NOVL,0,1
4503,1920,SENT,0,1
4505,1920,PARG,0,1
4520,1921,NOVL,1,1
4522,1921,SENT,0,1
4523,1921,PARG,0,1
4527,1921,SENT,0,1
4530,1921,SENT,0,1
4534,1921,SENT,0,1
4543,1921,NOVL,0,0
4579,1921,PARG,0,1
4596,1921,PARG,0,1
4598,1921,NOVL,0,0
4617,1921,NOVL,0,1
4633,1921,PARG,0,1
4639,1922,SENT,0,1
4642,1922,SENT,0,1
4656,1922,SENT,0,1
4665,1922,PARG,0,1
4666,1922,NOVL,1,1
4673,1922,PARG,0,1
4680,1922,NOVL,0,1
4711,1922,NOVL,1,1
4714,1922,PARG,0,1
4744,1922,SENT,0,1
